path,role,handbook_version,scorer_version,prompt_sha256,status,sha256,n_rows,n_unique_ids,label_counts,n_empty_sentence,n_duplicate_ids
notes/handbooks/handbook_B_sop_v4.md,canonical_handbook,B.sop_v4.1,cnss-lskt-1.2.0,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,active,63d8cc93423afe23ce4f0d3b462deae2b82bb49f44b01de88ed5d989fcceeb39,,,,,
notes/handbooks/handbook_B_overlap_adjudication.md,overlap_rules,B.sop_v4.1,cnss-lskt-1.2.0,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,active,fb58c06efd514c72e6b956d6ccf54ec99d36a7b81b2478a5c3e7c2c1c4e97621,,,,,
notes/handbooks/LSKT_V4_RULE_CHANGELOG.md,rule_changelog,B.sop_v4.1,cnss-lskt-1.2.0,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,active,966397f754f73916433695bd5254c671d2c2a4b72e0e48adfb7621abed36e69d,,,,,
prompts/LSKT_V4_ANNOTATION_PROMPT.txt,llm_prompt,B.sop_v4.1,cnss-lskt-1.2.0,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,active,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,,,,,
data/gold_canonical_v2.jsonl,historical_gold_v2,B.sop_v4.1,cnss-lskt-1.2.0,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,frozen,7a26e32b89d4e501175cb96443e35e171cea08d91501d2a32779b96ee8504ff6,2601,2601,"{""S"": 3384, ""T"": 1001, ""L"": 31, ""K"": 2211}",914,0
data/test_lskt_v4_cws_simhuman980_hybrid.jsonl,provisional_v4_hybrid,B.sop_v4.1,cnss-lskt-1.2.0,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,draft,2ad6342d8b762cf1abb289295315e2521bec0c540f4320113409fceab0818d99,2601,2601,"{""S"": 2092, ""K"": 1371, ""T"": 698, ""L"": 33}",896,0
reports/human980_doccano/doccano/human980.jsonl,human980_prelabel_queue,B.sop_v4.1,cnss-lskt-1.2.0,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,draft,3bebcb78c453d77bfeb56bf626e9e686343e1e9c62130b1292c07e451eedd636,980,980,"{""S"": 1462, ""K"": 853, ""T"": 406, ""L"": 18}",30,0
reports/annotation_v4/adjudication_log.csv,adjudication_log,B.sop_v4.1,cnss-lskt-1.2.0,489f20c0ea0b9adf5bd3ed76b1a163e4204818475c79b0d9e18475c375c16de7,draft,783a9bedb0eefb97a83e2b472ff257d955d472511950f27edea6e54b50495c95,0,0,{},0,0
