model,n_filled_empty,orig2601_exact,orig2601_relaxed,overlay_raw2601_exact,overlay_raw2601_relaxed,overlay_cws2601_exact,overlay_cws2601_relaxed,orig980_exact,overlay_cws980_exact,overlay_cws980_relaxed,alignment_ok_cws2601
JobBERT_3M_v4,0,0.4331,0.5873,0.3847,0.5465,0.3884,0.5469,0.4401,0.3743,0.5435,1
JobBERT_1M_v4,0,0.4272,0.5952,0.3779,0.5553,0.3811,0.5560,0.4333,0.3654,0.5530,1
JobBERT_1M_cws_retrain,0,0.4049,0.5904,0.3663,0.5499,0.3688,0.5501,0.4020,0.3491,0.5486,1
ChatGPT,0,0.2854,0.6249,0.2913,0.5897,0.2929,0.5902,0.2836,0.2947,0.5928,1
DeepSeek,0,0.0802,0.1577,0.0854,0.1593,0.0860,0.1594,0.0738,0.0826,0.1599,1
Qwen,0,0.0501,0.1409,0.0546,0.1384,0.0546,0.1385,0.0483,0.0552,0.1327,1
Claude,98,0.1483,0.3349,0.1579,0.3343,0.1586,0.3346,0.1757,0.1932,0.4041,1
Kimi,293,0.0964,0.1997,0.1089,0.1980,0.1094,0.1984,0.1011,0.1210,0.2158,1
