model,dump_model_id,status,n_missing,typed_exact_f1,typed_relaxed_f1,collapsed_exact_f1,typed_exact_p,typed_exact_r
ChatGPT,gpt-4o,complete,0,0.6364783609234652,0.7221438645980254,0.6403385049365303,0.6263880771478667,0.6468990493435944
Claude,claude-3-5-haiku-20241022,incomplete,98,0.25282993289500444,0.37890598522334445,0.29038161729817663,0.229510214127492,0.2814244756299985
Kimi,kimi-k2-0711-preview,incomplete,293,0.15218466611706516,0.21302555647155813,0.3086562242374279,0.16772669453025624,0.13927870831447112
DeepSeek,deepseek-r1,complete,0,0.13265225933202357,0.179803536345776,0.35693516699410605,0.13840603476549687,0.1273577787837634
Qwen,Qwen2.5-14B-Instruct,complete,0,0.07905138339920947,0.12722332015810275,0.10746047430830041,0.21783526208304968,0.04828730949147427
JobBERT-skill,JobBERT-skill EN head,complete,0,0.003743234356821285,0.003743234356821285,0.008194648186554706,0.002815401004413331,0.005583220159951712
JobBERT-knowledge,JobBERT-knowledge EN head,complete,0,0.00440948038282307,0.00440948038282307,0.008117452522924286,0.0033008252063015755,0.006639505055077713
