status,system,n,alignment_ok,typed_exact_p,typed_exact_r,typed_exact_f1,typed_relaxed_f1,short_exact_f1,long_exact_f1,gold_v2_side_exact_f1,source
待验证,vanilla_wwm_base,2601,true,0.4878,0.3911,0.4341,0.5888,0.4561,0.4135,0.1440,server_B_seed42_hybrid_eval
待验证,vanilla_wwm_large,2601,true,0.4589,0.4025,0.4289,0.5766,0.4426,0.4157,0.1398,server_B_seed42_hybrid_eval
已确认,JobBERT_3M_v4,2601,true,0.4730,0.3994,0.4331,0.5873,0.4501,0.4165,,confirmed-results
已确认,JobBERT_1M_v4,2601,true,0.4685,0.3925,0.4272,0.5952,0.4431,0.4120,,confirmed-results
