system,precision,recall,f1,note
ChatGPT (gpt-4o),0.6264,0.6469,0.6365,complete
Claude filled (haiku+98 sonnet-4-6),0.2300,0.2947,0.2583,mixed-model complete view
JobBERT 1M goldstyle v3,0.1864+/-0.0137,0.0984+/-0.0037,0.1288+/-0.0062,3-seed mean+/-sample std
domain-mix 1M,0.1841+/-0.0029,0.0969+/-0.0033,0.1269+/-0.0031,3-seed mean+/-sample std
JobBERT 3M ckpt65000,0.1785+/-0.0055,0.0972+/-0.0030,0.1258+/-0.0033,3-seed mean+/-sample std
RoBERTa-wwm v3,0.1695+/-0.0126,0.0928+/-0.0024,0.1199+/-0.0050,3-seed mean+/-sample std
DeepSeek (deepseek-r1),0.1384,0.1274,0.1327,complete
Kimi empty-fill,0.1677,0.1393,0.1522,293 missing IDs empty-filled
Qwen (Qwen2.5-14B-Instruct),0.2178,0.0483,0.0791,complete
