model_id,primary_paper_cell,pack_path,role,seed,selected_epoch,gold150_typed_exact_f1_offline,offline_verified,n_pred,n_empty_pred_rows,n_train,n_val,n_test,train_slurm_job,infer_slurm_job,train_host,base_hf_repo,base_local_path_recorded,hf_revision_in_peft_config,adapter_format,adapter_model_sha256,adapter_config_sha256,pred_for_score_sha256,load_entry
shared_guidelines_b2_seed42,yes,shared_guidelines_b2/seed42,B2 shared-guidelines occurrence Qwen2.5-14B LoRA,42,2,0.4995663486556808,yes,150,9,2150,169,,50978,50981,DS209213,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/SCESC-LLM-skill-extraction/Qwen2.5-14B-Instruct,,adapter_model.safetensors,302d5a14dbd60b4e1b4d16c03166fd5f65565b054ea661433b4fdf6dc2d577e6,980e060317bc09b65acee8de4c0e652f833869da4bd816bf8884fb234c134a85,22033c2f102143f786d29c09ccb1f99d91da6ec0f97eb977e228444869be6a24,shared_guidelines_b2/scripts/infer_gold150_sft.py
shared_guidelines_b2_seed43,yes,shared_guidelines_b2/seed43,B2 shared-guidelines occurrence Qwen2.5-14B LoRA,43,2,0.5632858340318525,yes,150,10,2150,169,,50978,50981,DS209213,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/SCESC-LLM-skill-extraction/Qwen2.5-14B-Instruct,,adapter_model.safetensors,63ba3b4d4b80aafad237c687b8e0ffc10c77d545511ab5669226e305c8fd43ef,07713f4f7e0ebd5df97a9730a865cad63017faf0995803a7b0ae1abcacc62e64,c14f34e0a23e463500cbca1e9747be28fec74ac58495f3a2de338d4bd6dbe564,shared_guidelines_b2/scripts/infer_gold150_sft.py
shared_guidelines_b2_seed44,yes,shared_guidelines_b2/seed44,B2 shared-guidelines occurrence Qwen2.5-14B LoRA,44,1,0.5581787521079258,yes,150,11,2150,169,,50979,50981,DS209213,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/SCESC-LLM-skill-extraction/Qwen2.5-14B-Instruct,,adapter_model.safetensors,425156a48a60da55a1c0fb3f30097e03716d0e998557526cdb1ca307dbb1be77,12d46e86af982a3dc8050247d37c2a24863391d39ae0b1ef4d453d9db4e31112,a90efd6a2704d9ecfb9d7b3fa95534851358db402c6dcbe24bc78d6bc25b9953,shared_guidelines_b2/scripts/infer_gold150_sft.py
expanded_silver_proxy_seed42,yes,expanded_silver/proxy_seed42,expanded silver proxy pool 9646 keep,42,1,0.5966386554621848,yes,150,11,8943,351,352,8112,8113,DS210039,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/IEEE_Access_project/models/Qwen2.5-14B-Instruct,,adapter_model.safetensors,797f0401142a82e40addd81652ef096430024e5cd66a72c32c02d5cbd181932e,5564477d4208cc2bf99530e405cc3c5f7bf981ee038ddfc62fec972ad86c41c4,c7458f3009ff352659d4f49e8c069d1e23c447866aaae6f2a11193b6a93b3a55,expanded_silver/proxy_seed42/scripts/eval_tvt_heldout.py
expanded_silver_codex_seed42,yes,expanded_silver/codex_seed42,expanded silver Codex-swap pool 9540 keep,42,1,0.5854063018242122,yes,150,8,8842,348,350,8132,8133,DS210039,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/IEEE_Access_project/models/Qwen2.5-14B-Instruct,,adapter_model.safetensors,fe47eb71be87ad01e8b3d2b445768ed69db140cecb3a567e0e6f9257bff5ddbd,3d49b392e111a3899960ffadbec2ce4956d20fe3262d5c92be97042daa8b5567,9ad9c00dbb3ecfbcfcaa9f217a3ec599a4480062a020c0e8370ce629b67656cb,expanded_silver/codex_seed42/scripts/eval_tvt_heldout.py
optional_wave12_seed42,no,expanded_silver/optional_table_h/wave12_seed42,optional Table H Wave1+2; NOT a B2 or pool substitute,42,2,0.5745393634840871,yes,150,9,,,,8099,,DS210039,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/IEEE_Access_project/models/Qwen2.5-14B-Instruct,,adapter_model.safetensors,6200462844e068de684f96520fe09fbb5cb11a3b4ff26f0acd01561fec342ae2,48bf7810b98411dabba33d6dfbf0d92e9b960c945f781efaec1002881633187e,3621ab02ac8f8458d32ec4421b82176c01f9bea71a157d94873c55cb3cbfdf6d,expanded_silver/optional_table_h/wave12_seed42/scripts/eval_tvt_heldout.py
optional_wave3_proxy_seed42,no,expanded_silver/optional_table_h/wave3_proxy_seed42,optional Table H Wave3 proxy; NOT a B2 or pool substitute,42,2,0.58700882117081,yes,150,9,,,,8096,,DS210039,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/IEEE_Access_project/models/Qwen2.5-14B-Instruct,,adapter_model.safetensors,803f2c8e6c0ce97ac6e4ccbd978457c48125b7a6619bb31df0d3851bf21c1d98,5e40f06859d1a6a409412e32ee76d2d2d707c58ec46e26b375cf3a143f2f9c1d,1dca0f3c15082a1854431ee6ee033c11d3c62ce904fac004cf9cb8da67a99056,expanded_silver/optional_table_h/wave3_proxy_seed42/scripts/eval_tvt_heldout.py
optional_wave3_codex_seed42,no,expanded_silver/optional_table_h/wave3_codex_seed42,optional Table H Wave3 Codex; NOT a B2 or pool substitute,42,1,0.585325638911789,yes,150,6,,,,8108,,DS210039,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/IEEE_Access_project/models/Qwen2.5-14B-Instruct,,adapter_model.safetensors,51769b86a041cacc8d5a2a700e8fc771cf96ea1ce9c6bfec22ea82b0c154732e,6d00dd0b9f72609d08a51599c9c06b5c4fa741be16748066637f4581a4c493eb,2f0d921257d2b6458dc007d0a1f9924d86b5714929139c982bc3e81e1bbab84b,expanded_silver/optional_table_h/wave3_codex_seed42/scripts/eval_tvt_heldout.py
optional_silver7117_fulldev_seed42,no,expanded_silver/optional_table_h/silver7117_fulldev_seed42,optional 7117/559 full-dev; NOT B2 or 9646/9540 identity,42,1,0.5883306320907618,yes,150,8,7117,559,,8011,,DS210039,Qwen/Qwen2.5-14B-Instruct,/home/guojingli3/IEEE_Access_project/models/Qwen2.5-14B-Instruct,,adapter_model.safetensors,00f426f04ea9216711314448f8626849065b3b1517ca1ab02aeb65994272bf5b,56580f9bd97831138e924bdc7a649a8aad8f746dcca0e42fefcbe048298b1c6c,e92bfa2fdaef83fc2d0244596cf43386beb2e16a5a4dca5736fd33a1bc8cb8ef,expanded_silver/optional_table_h/silver7117_fulldev_seed42/scripts/train_sft.py
