system,人工智能招聘_f1,人工智能招聘_f1_std,人工智能招聘_p,人工智能招聘_r,阿里云公开数据集_f1,阿里云公开数据集_f1_std,阿里云公开数据集_p,阿里云公开数据集_r,事业单位招聘_f1,事业单位招聘_f1_std,事业单位招聘_p,事业单位招聘_r
JobBERT 1M goldstyle v3,0.13650705724757334,0.008098803804933736,0.1962177159731634,0.1047008547008547,0.1354266928518139,0.003851243642734051,0.18759752415940967,0.10602593440122045,0.021269549842775286,0.0033907905683807564,0.03940552923682185,0.014583333333333334
domain-mix 1M,0.13343009030023176,0.005188073911978192,0.1914350626339112,0.1024262475875379,0.13518342164291564,0.002148844559399741,0.18573087656144413,0.10628019323671498,0.02340978396392345,0.007095915746812755,0.05047301326371094,0.015277777777777777
JobBERT 3M ckpt65000,0.13437089922784026,0.0021325868585889748,0.1894049837168898,0.10414943479459608,0.13150905308874208,0.0078000926848755025,0.18115837073186072,0.10322908721078057,0.01467781853255216,0.0006908379879929294,0.025120679636013048,0.010416666666666666
RoBERTa-wwm v3,0.13009006520557162,0.0071799448468512295,0.1836031821298848,0.10077198786876206,0.11862414383312932,0.00246301635880924,0.16084442019256312,0.09407576913297737,0.012555047770457725,0.0013609282448221812,0.02075725255736569,0.009027777777777777
ChatGPT (gpt-4o),0.6489221738690416,,0.6354806739345887,0.662944582299421,0.5650019062142584,,0.5647865853658537,0.5652173913043478,0.703205791106515,,0.6981519507186859,0.7083333333333334
Claude filled (haiku+98 sonnet-4-6),0.29016975917883936,,0.2775679758308157,0.303970223325062,0.24751066856330012,,0.2318454363757495,0.2654462242562929,0.1240808823529412,,0.07959905660377359,0.28125
"Kimi (kimi-k2-0711-preview, 293 missing)",0.1512449334105385,,0.1718873387733614,0.13502894954507857,0.17753922378199835,,0.1935193519351935,0.16399694889397406,0.10251630941286113,,0.09274873524451939,0.11458333333333333
DeepSeek (deepseek-r1),0.13918699186991873,,0.14627477785372522,0.1327543424317618,0.12928970470869913,,0.13556485355648534,0.12356979405034325,0.08048289738430583,,0.07782101167315175,0.08333333333333333
Qwen (Qwen2.5-14B-Instruct),0.08873835732430145,,0.245088868101029,0.054177005789909014,0.06455617628801986,,0.17333333333333334,0.03966437833714721,0.020689655172413796,,0.06,0.0125
